Timestamp WorkflowId PeakValueRss1 PeakValueVsize1 TotalJobCPU1 TotalJobTime1
1617656400.0 512.0 0 0 110 113
1617656400.0 513.0 0 0 123 139
1617656400.0 514.0 0 0 122 122
1617656400.0 515.0 0 0 129 137
1617656400.0 516.0 0 0 115 148
1617656400.0 517.0 0 0 136 181
1617656400.0 518.0 0 0 117 143
1617656400.0 519.0 0 0 138 157
1617656400.0 520.0 0 0 103 129
1617656400.0 521.0 0 0 128 139
1617656400.0 522.0 0 0 115 149
1617656400.0 523.0 0 0 586 336
1617656400.0 524.0 0 0 177 170
1617656400.0 525.0 0 0 120 154
1617656400.0 526.0 0 0 125 131
1617656400.0 527.0 0 0 142 138
1617656400.0 528.0 0 0 140 145
1617656400.0 529.0 0 0 136 150
1617656400.0 530.0 0 0 185 174
1617656400.0 547.0 0 0 139 166
1617656400.0 548.0 0 0 149 150
1617656400.0 551.0 0 0 531 317
1617656400.0 552.0 0 0 162 161
1617656400.0 554.0 0 0 105 126
1617656400.0 555.0 0 0 1126 598
1617656400.0 556.0 0 0 127 127
1617656400.0 562.0 0 0 279 300
